Town,date,Count,Tests
Abington,2020-04-22,78,NA
Acton,2020-04-22,50,NA
Acushnet,2020-04-22,18,NA
Adams,2020-04-22,29,NA
Agawam,2020-04-22,244,NA
Alford,2020-04-22,0,NA
Amesbury,2020-04-22,32,NA
Amherst,2020-04-22,16,NA
Andover,2020-04-22,85,NA
Aquinnah,2020-04-22,0,NA
Arlington,2020-04-22,180,NA
Ashburnham,2020-04-22,12,NA
Ashby,2020-04-22,7,NA
Ashfield,2020-04-22,3,NA
Ashland,2020-04-22,84,NA
Athol,2020-04-22,34,NA
Attleboro,2020-04-22,281,NA
Auburn,2020-04-22,45,NA
Avon,2020-04-22,39,NA
Ayer,2020-04-22,33,NA
Barnstable,2020-04-22,133,NA
Barre,2020-04-22,24,NA
Becket,2020-04-22,10,NA
Bedford,2020-04-22,117,NA
Belchertown,2020-04-22,40,NA
Bellingham,2020-04-22,44,NA
Belmont,2020-04-22,141,NA
Berkley,2020-04-22,21,NA
Berlin,2020-04-22,10,NA
Bernardston,2020-04-22,3,NA
Beverly,2020-04-22,241,NA
Billerica,2020-04-22,261,NA
Blackstone,2020-04-22,20,NA
Blandford,2020-04-22,0,NA
Bolton,2020-04-22,5,NA
Bourne,2020-04-22,99,NA
Boxborough,2020-04-22,9,NA
Boxford,2020-04-22,25,NA
Boylston,2020-04-22,9,NA
Braintree,2020-04-22,418,NA
Brewster,2020-04-22,64,NA
Bridgewater,2020-04-22,141,NA
Brimfield,2020-04-22,3,NA
Brockton,2020-04-22,1763,NA
Brookfield,2020-04-22,5,NA
Brookline,2020-04-22,216,NA
Buckland,2020-04-22,6,NA
Burlington,2020-04-22,131,NA
Cambridge,2020-04-22,672,NA
Canton,2020-04-22,157,NA
Carlisle,2020-04-22,7,NA
Carver,2020-04-22,19,NA
Charlemont,2020-04-22,0,NA
Charlton,2020-04-22,26,NA
Chatham,2020-04-22,8,NA
Chelmsford,2020-04-22,174,NA
Chelsea,2020-04-22,1447,NA
Cheshire,2020-04-22,3,NA
Chester,2020-04-22,3,NA
Chesterfield,2020-04-22,3,NA
Chicopee,2020-04-22,176,NA
Chilmark,2020-04-22,0,NA
Clarksburg,2020-04-22,7,NA
Clinton,2020-04-22,54,NA
Cohasset,2020-04-22,15,NA
Colrain,2020-04-22,3,NA
Concord,2020-04-22,63,NA
Conway,2020-04-22,3,NA
Cummington,2020-04-22,3,NA
Dalton,2020-04-22,6,NA
Danvers,2020-04-22,316,NA
Dartmouth,2020-04-22,66,NA
Dedham,2020-04-22,174,NA
Deerfield,2020-04-22,3,NA
Dennis,2020-04-22,42,NA
Dighton,2020-04-22,20,NA
Douglas,2020-04-22,18,NA
Dover,2020-04-22,14,NA
Dracut,2020-04-22,229,NA
Dudley,2020-04-22,27,NA
Dunstable,2020-04-22,7,NA
Duxbury,2020-04-22,33,NA
East Bridgewater,2020-04-22,102,NA
East Brookfield,2020-04-22,3,NA
East Longmeadow,2020-04-22,116,NA
Eastham,2020-04-22,7,NA
Easthampton,2020-04-22,37,NA
Easton,2020-04-22,162,NA
Edgartown,2020-04-22,0,NA
Egremont,2020-04-22,3,NA
Erving,2020-04-22,3,NA
Essex,2020-04-22,12,NA
Everett,2020-04-22,716,NA
Fairhaven,2020-04-22,45,NA
Fall River,2020-04-22,191,NA
Falmouth,2020-04-22,110,NA
Fitchburg,2020-04-22,148,NA
Florida,2020-04-22,3,NA
Foxborough,2020-04-22,54,NA
Framingham,2020-04-22,438,NA
Franklin,2020-04-22,55,NA
Freetown,2020-04-22,25,NA
Gardner,2020-04-22,74,NA
Georgetown,2020-04-22,24,NA
Gill,2020-04-22,3,NA
Gloucester,2020-04-22,111,NA
Goshen,2020-04-22,0,NA
Gosnold,2020-04-22,0,NA
Grafton,2020-04-22,41,NA
Granby,2020-04-22,13,NA
Granville,2020-04-22,7,NA
Great Barrington,2020-04-22,37,NA
Greenfield,2020-04-22,122,NA
Groton,2020-04-22,15,NA
Groveland,2020-04-22,8,NA
Hadley,2020-04-22,17,NA
Halifax,2020-04-22,22,NA
Hamilton,2020-04-22,14,NA
Hampden,2020-04-22,14,NA
Hancock,2020-04-22,3,NA
Hanover,2020-04-22,38,NA
Hanson,2020-04-22,44,NA
Hardwick,2020-04-22,3,NA
Harvard,2020-04-22,13,NA
Harwich,2020-04-22,30,NA
Hatfield,2020-04-22,6,NA
Haverhill,2020-04-22,385,NA
Hawley,2020-04-22,0,NA
Heath,2020-04-22,0,NA
Hingham,2020-04-22,108,NA
Hinsdale,2020-04-22,3,NA
Holbrook,2020-04-22,83,NA
Holden,2020-04-22,34,NA
Holland,2020-04-22,5,NA
Holliston,2020-04-22,21,NA
Holyoke,2020-04-22,474,NA
Hopedale,2020-04-22,8,NA
Hopkinton,2020-04-22,65,NA
Hubbardston,2020-04-22,3,NA
Hudson,2020-04-22,73,NA
Hull,2020-04-22,17,NA
Huntington,2020-04-22,6,NA
Ipswich,2020-04-22,33,NA
Kingston,2020-04-22,50,NA
Lakeville,2020-04-22,27,NA
Lancaster,2020-04-22,12,NA
Lanesborough,2020-04-22,5,NA
Lawrence,2020-04-22,1205,NA
Lee,2020-04-22,11,NA
Leicester,2020-04-22,58,NA
Lenox,2020-04-22,11,NA
Leominster,2020-04-22,128,NA
Leverett,2020-04-22,3,NA
Lexington,2020-04-22,218,NA
Leyden,2020-04-22,0,NA
Lincoln,2020-04-22,25,NA
Littleton,2020-04-22,69,NA
Longmeadow,2020-04-22,159,NA
Lowell,2020-04-22,1235,NA
Ludlow,2020-04-22,47,NA
Lunenburg,2020-04-22,24,NA
Lynn,2020-04-22,1387,NA
Lynnfield,2020-04-22,56,NA
Malden,2020-04-22,560,NA
Manchester,2020-04-22,12,NA
Mansfield,2020-04-22,87,NA
Marblehead,2020-04-22,65,NA
Marion,2020-04-22,3,NA
Marlborough,2020-04-22,295,NA
Marshfield,2020-04-22,83,NA
Mashpee,2020-04-22,34,NA
Mattapoisett,2020-04-22,9,NA
Maynard,2020-04-22,24,NA
Medfield,2020-04-22,23,NA
Medford,2020-04-22,590,NA
Medway,2020-04-22,46,NA
Melrose,2020-04-22,126,NA
Mendon,2020-04-22,10,NA
Merrimac,2020-04-22,8,NA
Methuen,2020-04-22,409,NA
Middleborough,2020-04-22,72,NA
Middlefield,2020-04-22,0,NA
Middleton,2020-04-22,89,NA
Milford,2020-04-22,114,NA
Millbury,2020-04-22,117,NA
Millis,2020-04-22,27,NA
Millville,2020-04-22,7,NA
Milton,2020-04-22,141,NA
Monroe,2020-04-22,0,NA
Monson,2020-04-22,14,NA
Montague,2020-04-22,14,NA
Monterey,2020-04-22,0,NA
Montgomery,2020-04-22,3,NA
Mount Washington,2020-04-22,0,NA
Nahant,2020-04-22,28,NA
Nantucket,2020-04-22,9,NA
Natick,2020-04-22,214,NA
Needham,2020-04-22,156,NA
New Ashford,2020-04-22,0,NA
New Bedford,2020-04-22,212,NA
New Braintree,2020-04-22,3,NA
New Marlborough,2020-04-22,3,NA
New Salem,2020-04-22,0,NA
Newbury,2020-04-22,3,NA
Newburyport,2020-04-22,38,NA
Newton,2020-04-22,455,NA
Norfolk,2020-04-22,14,NA
North Adams,2020-04-22,39,NA
North Andover,2020-04-22,121,NA
North Attleborough,2020-04-22,107,NA
North Brookfield,2020-04-22,5,NA
North Reading,2020-04-22,119,NA
Northampton,2020-04-22,119,NA
Northborough,2020-04-22,74,NA
Northbridge,2020-04-22,90,NA
Northfield,2020-04-22,3,NA
Norton,2020-04-22,66,NA
Norwell,2020-04-22,52,NA
Norwood,2020-04-22,316,NA
Oak Bluffs,2020-04-22,3,NA
Oakham,2020-04-22,3,NA
Orange,2020-04-22,25,NA
Orleans,2020-04-22,11,NA
Otis,2020-04-22,3,NA
Oxford,2020-04-22,23,NA
Palmer,2020-04-22,14,NA
Paxton,2020-04-22,9,NA
Peabody,2020-04-22,380,NA
Pelham,2020-04-22,3,NA
Pembroke,2020-04-22,44,NA
Pepperell,2020-04-22,21,NA
Peru,2020-04-22,3,NA
Petersham,2020-04-22,3,NA
Phillipston,2020-04-22,7,NA
Pittsfield,2020-04-22,120,NA
Plainfield,2020-04-22,0,NA
Plainville,2020-04-22,32,NA
Plymouth,2020-04-22,152,NA
Plympton,2020-04-22,3,NA
Princeton,2020-04-22,3,NA
Provincetown,2020-04-22,18,NA
Quincy,2020-04-22,551,NA
Randolph,2020-04-22,481,NA
Raynham,2020-04-22,110,NA
Reading,2020-04-22,118,NA
Rehoboth,2020-04-22,27,NA
Revere,2020-04-22,759,NA
Richmond,2020-04-22,5,NA
Rochester,2020-04-22,8,NA
Rockland,2020-04-22,133,NA
Rockport,2020-04-22,24,NA
Rowe,2020-04-22,0,NA
Rowley,2020-04-22,16,NA
Royalston,2020-04-22,3,NA
Russell,2020-04-22,9,NA
Rutland,2020-04-22,22,NA
Salem,2020-04-22,277,NA
Salisbury,2020-04-22,19,NA
Sandisfield,2020-04-22,3,NA
Sandwich,2020-04-22,57,NA
Saugus,2020-04-22,194,NA
Savoy,2020-04-22,3,NA
Scituate,2020-04-22,54,NA
Seekonk,2020-04-22,34,NA
Sharon,2020-04-22,69,NA
Sheffield,2020-04-22,11,NA
Shelburne,2020-04-22,5,NA
Sherborn,2020-04-22,5,NA
Shirley,2020-04-22,25,NA
Shrewsbury,2020-04-22,147,NA
Shutesbury,2020-04-22,3,NA
Somerset,2020-04-22,38,NA
Somerville,2020-04-22,415,NA
South Hadley,2020-04-22,46,NA
Southampton,2020-04-22,24,NA
Southborough,2020-04-22,21,NA
Southbridge,2020-04-22,42,NA
Southwick,2020-04-22,25,NA
Spencer,2020-04-22,11,NA
Springfield,2020-04-22,835,NA
Sterling,2020-04-22,16,NA
Stockbridge,2020-04-22,6,NA
Stoneham,2020-04-22,180,NA
Stoughton,2020-04-22,305,NA
Stow,2020-04-22,9,NA
Sturbridge,2020-04-22,21,NA
Sudbury,2020-04-22,55,NA
Sunderland,2020-04-22,7,NA
Sutton,2020-04-22,20,NA
Swampscott,2020-04-22,77,NA
Swansea,2020-04-22,31,NA
Taunton,2020-04-22,351,NA
Templeton,2020-04-22,84,NA
Tewksbury,2020-04-22,204,NA
Tisbury,2020-04-22,3,NA
Tolland,2020-04-22,0,NA
Topsfield,2020-04-22,76,NA
Townsend,2020-04-22,17,NA
Truro,2020-04-22,9,NA
Tyngsborough,2020-04-22,63,NA
Tyringham,2020-04-22,3,NA
Upton,2020-04-22,13,NA
Uxbridge,2020-04-22,29,NA
Wakefield,2020-04-22,181,NA
Wales,2020-04-22,3,NA
Walpole,2020-04-22,145,NA
Waltham,2020-04-22,542,NA
Ware,2020-04-22,10,NA
Wareham,2020-04-22,78,NA
Warren,2020-04-22,3,NA
Warwick,2020-04-22,0,NA
Washington,2020-04-22,3,NA
Watertown,2020-04-22,163,NA
Wayland,2020-04-22,50,NA
Webster,2020-04-22,48,NA
Wellesley,2020-04-22,164,NA
Wellfleet,2020-04-22,3,NA
Wendell,2020-04-22,0,NA
Wenham,2020-04-22,8,NA
West Boylston,2020-04-22,21,NA
West Bridgewater,2020-04-22,32,NA
West Brookfield,2020-04-22,6,NA
West Newbury,2020-04-22,3,NA
West Springfield,2020-04-22,171,NA
West Stockbridge,2020-04-22,3,NA
West Tisbury,2020-04-22,7,NA
Westborough,2020-04-22,133,NA
Westfield,2020-04-22,270,NA
Westford,2020-04-22,93,NA
Westhampton,2020-04-22,3,NA
Westminster,2020-04-22,13,NA
Weston,2020-04-22,66,NA
Westport,2020-04-22,16,NA
Westwood,2020-04-22,67,NA
Weymouth,2020-04-22,360,NA
Whately,2020-04-22,3,NA
Whitman,2020-04-22,87,NA
Wilbraham,2020-04-22,91,NA
Williamsburg,2020-04-22,5,NA
Williamstown,2020-04-22,81,NA
Wilmington,2020-04-22,184,NA
Winchendon,2020-04-22,41,NA
Winchester,2020-04-22,60,NA
